사용일자	호선명	역명	승차총승객수	하차총승객수	등록일자	승하차
20180203	경부선	수원	45407	49131	20180206	94538
20180130	2호선	건대입구	45382	48996	20180202	94378
20180127	2호선	신촌	46696	47563	20180130	94259
20180122	경부선	영등포	46150	48055	20180125	94205
20180122	3호선	양재(서초구청)	45528	48671	20180125	94199
20180126	2호선	사당	43192	50971	20180129	94163
20180125	2호선	신촌	46510	47631	20180128	94141
20180115	2호선	사당	43312	50751	20180118	94063
20180130	경부선	영등포	45937	47991	20180202	93928
20180208	2호선	교대(법원.검찰청)	44152	49725	20180211	93877
20180212	2호선	사당	42878	50754	20180215	93632
20180123	3호선	양재(서초구청)	45304	48293	20180126	93597
20180205	3호선	양재(서초구청)	45145	48451	20180208	93596
20180211	2호선	신림	47306	46123	20180214	93429
20180207	경부선	영등포	45675	47754	20180210	93429
20180212	2호선	교대(법원.검찰청)	44043	49291	20180215	93334
20180119	경부선	수원	44535	48786	20180122	93321
20180212	2호선	강변(동서울터미널)	46656	46605	20180215	93261
20180130	4호선	혜화	48260	44977	20180202	93237
20180119	3호선	연신내	47460	45767	20180122	93227
20180115	2호선	강변(동서울터미널)	46920	46287	20180118	93207
20180127	2호선	강변(동서울터미널)	46803	46398	20180130	93201
20180122	2호선	강변(동서울터미널)	46628	46407	20180125	93035
20180212	2호선	건대입구	44649	48365	20180215	93014
20180118	2호선	강변(동서울터미널)	47178	45738	20180121	92916
20180128	2호선	신림	46612	46209	20180131	92821
20180126	2호선	건대입구	43451	49269	20180129	92720
20180130	5호선	광화문(세종문화회관)	47747	44866	20180202	92613
20180204	2호선	신림	46554	45994	20180207	92548
20180131	2호선	건대입구	44314	48192	20180203	92506
20180120	2호선	구로디지털단지	46472	46011	20180123	92483
20180207	2호선	건대입구	44332	47972	20180210	92304
20180112	2호선	교대(법원.검찰청)	43516	48741	20180115	92257
20180201	2호선	건대입구	44097	48134	20180204	92231
20180207	2호선	교대(법원.검찰청)	43306	48924	20180210	92230
20180129	2호선	신촌	45403	46629	20180201	92032
20180208	3호선	연신내	47254	44734	20180211	91988
20180122	2호선	사당	42110	49877	20180125	91987
20180115	2호선	건대입구	44130	47843	20180118	91973
20180124	2호선	신촌	45554	46343	20180127	91897
20180117	2호선	강변(동서울터미널)	46491	45398	20180120	91889
20180115	2호선	교대(법원.검찰청)	43610	48257	20180118	91867
20180130	2호선	교대(법원.검찰청)	43574	48288	20180202	91862
20180120	2호선	서울대입구(관악구청)	47040	44761	20180123	91801
20180117	4호선	혜화	45066	46707	20180120	91773
20180205	경부선	영등포	44779	46890	20180208	91669
20180206	2호선	사당	42649	48992	20180209	91641
20180123	2호선	사당	42756	48878	20180126	91634
20180203	2호선	구로디지털단지	45741	45863	20180206	91604
20180125	3호선	양재(서초구청)	44024	47411	20180128	91435
20180131	2호선	교대(법원.검찰청)	42912	48408	20180203	91320
20180114	경부선	영등포	46020	45266	20180117	91286
20180113	2호선	구로디지털단지	45753	45410	20180116	91163
20180201	2호선	교대(법원.검찰청)	42978	48148	20180204	91126
20180129	3호선	양재(서초구청)	43895	47207	20180201	91102
20180122	2호선	교대(법원.검찰청)	42951	48137	20180125	91088
20180131	4호선	혜화	44610	46436	20180203	91046
